shape,timestamps,TRIP_ID,CALL_TYPE,ORIGIN_CALL,ORIGIN_STAND,TAXI_ID,DAY_TYPE,MISSING_DATA
"LINESTRING (-8.586072 41.14872, -8.586324 41.147847, -8.586999 41.14746, -8.586576 41.147154, -8.584884 41.146623)","1408039127, 1408039142, 1408039157, 1408039172, 1408039187",T1,B,NA,15,20000542,A,False
"LINESTRING (-8.610876 41.14557, -8.610858 41.145579, -8.610903 41.145768, -8.610444 41.146191, -8.609445 41.146758, -8.608896 41.147118, -8.608968 41.147127, -8.608707 41.147532, -8.608347 41.148117, -8.608149 41.148351, -8.608041 41.148576, -8.607654 41.14926, -8.607348 41.149899, -8.607393 41.149899, -8.607357 41.149962, -8.606817 41.150979, -8.606358 41.151915, -8.605719 41.152788, -8.604981 41.153319, -8.604783 41.154345, -8.604828 41.154372, -8.604801 41.155353, -8.604648 41.156775, -8.604522 41.158197, -8.604513 41.159943, -8.604378 41.160555, -8.604378 41.1606, -8.604369 41.160645, -8.60436 41.160807, -8.604162 41.161176, -8.604126 41.161248, -8.60409 41.161293, -8.60409 41.161266, -8.604108 41.161239, -8.604126 41.161194, -8.604135 41.161275, -8.60391 41.162049, -8.602929 41.162832, -8.602551 41.163111, -8.601894 41.163597)","1408038611, 1408038626, 1408038641, 1408038656, 1408038671, 1408038686, 1408038701, 1408038716, 1408038731, 1408038746, 1408038761, 1408038776, 1408038791, 1408038806, 1408038821, 1408038836, 1408038851, 1408038866, 1408038881, 1408038896, 1408038911, 1408038926, 1408038941, 1408038956, 1408038971, 1408038986, 1408039001, 1408039016, 1408039031, 1408039046, 1408039061, 1408039076, 1408039091, 1408039106, 1408039121, 1408039136, 1408039151, 1408039166, 1408039181, 1408039196",T2,B,NA,57,20000108,A,False
"LINESTRING (-8.585739 41.148558, -8.58573 41.148828, -8.585721 41.148972, -8.586288 41.149017, -8.586117 41.148567, -8.586198 41.148315, -8.586279 41.147919, -8.587152 41.147325, -8.585685 41.146839, -8.584281 41.1462, -8.583075 41.145111, -8.581365 41.14485, -8.579511 41.145651, -8.579349 41.145858, -8.579232 41.146308, -8.5797 41.147847, -8.578728 41.150241, -8.580024 41.152077, -8.581518 41.153292, -8.582022 41.153832, -8.582409 41.15439, -8.582679 41.154903, -8.582895 41.155578, -8.582985 41.156487, -8.582949 41.156991, -8.582742 41.157774, -8.582508 41.158386, -8.582346 41.158773, -8.58213 41.159295, -8.5815 41.160816, -8.580978 41.162715, -8.580411 41.163966, -8.579871 41.164038, -8.578791 41.164767, -8.577621 41.165361, -8.577513 41.165415, -8.577342 41.165739, -8.576946 41.166441, -8.575902 41.167233, -8.574903 41.167719)","1408038568, 1408038583, 1408038598, 1408038613, 1408038628, 1408038643, 1408038658, 1408038673, 1408038688, 1408038703, 1408038718, 1408038733, 1408038748, 1408038763, 1408038778, 1408038793, 1408038808, 1408038823, 1408038838, 1408038853, 1408038868, 1408038883, 1408038898, 1408038913, 1408038928, 1408038943, 1408038958, 1408038973, 1408038988, 1408039003, 1408039018, 1408039033, 1408039048, 1408039063, 1408039078, 1408039093, 1408039108, 1408039123, 1408039138, 1408039153",T3,B,NA,15,20000370,A,False
"LINESTRING (-8.613963 41.141169, -8.614125 41.141124, -8.615088 41.140926, -8.615277 41.140818, -8.615259 41.140809, -8.615241 41.1408, -8.615052 41.140818, -8.614638 41.14098)","1408039090, 1408039105, 1408039120, 1408039135, 1408039150, 1408039165, 1408039180, 1408039195",T4,B,NA,53,20000492,A,False
"LINESTRING (-8.619903 41.148036, -8.619894 41.148036)","1408039177, 1408039192",T5,B,NA,18,20000621,A,False
"LINESTRING (-8.630613 41.178249, -8.630613 41.178249, -8.630739 41.178231, -8.631513 41.178141, -8.631306 41.178114, -8.630028 41.177889, -8.629425 41.177817, -8.629173 41.17797, -8.629056 41.178042, -8.62866 41.177394, -8.627958 41.176152, -8.627967 41.176125, -8.627985 41.176107, -8.627778 41.175684, -8.627157 41.174127, -8.626275 41.172588, -8.626221 41.171922, -8.626419 41.171895, -8.626419 41.171904, -8.626428 41.171913, -8.626428 41.171913, -8.626419 41.171913, -8.62641 41.171922, -8.626401 41.171922, -8.62641 41.171931, -8.62641 41.171931, -8.626419 41.171931, -8.626419 41.171922, -8.626419 41.171922, -8.626419 41.171913, -8.626437 41.171913, -8.626446 41.171922, -8.626446 41.171913, -8.626446 41.171913, -8.626437 41.171913, -8.626428 41.171913, -8.626437 41.171913, -8.626437 41.171904, -8.626437 41.171904, -8.626428 41.171913, -8.626428 41.171904, -8.626437 41.171895, -8.626446 41.171895, -8.626446 41.171886, -8.626446 41.171886, -8.626437 41.171886, -8.626437 41.171877, -8.626446 41.171877, -8.626446 41.171895, -8.626446 41.171895, -8.626446 41.171895, -8.626446 41.171913, -8.626446 41.171913, -8.626437 41.171922, -8.626446 41.171922, -8.626455 41.171931, -8.626464 41.171922, -8.626464 41.171922, -8.626464 41.171931, -8.626464 41.171922, -8.626455 41.171922, -8.626455 41.171922, -8.626446 41.171931, -8.626446 41.171922, -8.626437 41.171922, -8.626437 41.171913, -8.626437 41.171913, -8.626446 41.171913, -8.626455 41.171913, -8.626464 41.171913, -8.626464 41.171913, -8.626464 41.171904, -8.626455 41.171904, -8.626455 41.171904, -8.626446 41.171913, -8.626446 41.171913, -8.626437 41.171922, -8.626437 41.171922, -8.626446 41.171922, -8.626446 41.171913, -8.626446 41.171904, -8.626455 41.171904, -8.626464 41.171895, -8.626464 41.171895, -8.626464 41.171895, -8.626473 41.171895, -8.626473 41.171895, -8.626464 41.171904, -8.626464 41.171913, -8.626455 41.171913, -8.626455 41.171913, -8.626455 41.171913, -8.626455 41.171904, -8.626446 41.171904, -8.626437 41.171913, -8.626437 41.171922, -8.626437 41.171922, -8.626446 41.171931, -8.626446 41.171931, -8.626446 41.17194, -8.626446 41.171949, -8.626455 41.171949, -8.626455 41.171949, -8.626464 41.17194, -8.626473 41.171931, -8.626473 41.171931, -8.626473 41.171931, -8.626509 41.171931, -8.626689 41.171895, -8.626698 41.171895, -8.62668 41.171868, -8.626662 41.171859, -8.626878 41.171886, -8.626842 41.171859, -8.626833 41.171886, -8.626842 41.171904, -8.626842 41.171904, -8.626851 41.171904, -8.626842 41.171904, -8.626833 41.171904, -8.626824 41.171859, -8.626779 41.171832, -8.626509 41.171886, -8.626455 41.171904, -8.626455 41.171904, -8.626455 41.171904, -8.626428 41.171913, -8.62641 41.171922, -8.62641 41.171922, -8.626419 41.171913, -8.626419 41.171913, -8.626428 41.171913, -8.626419 41.171922, -8.626401 41.17194, -8.626392 41.171958, -8.626401 41.171967, -8.62641 41.171958)","1408037146, 1408037161, 1408037176, 1408037191, 1408037206, 1408037221, 1408037236, 1408037251, 1408037266, 1408037281, 1408037296, 1408037311, 1408037326, 1408037341, 1408037356, 1408037371, 1408037386, 1408037401, 1408037416, 1408037431, 1408037446, 1408037461, 1408037476, 1408037491, 1408037506, 1408037521, 1408037536, 1408037551, 1408037566, 1408037581, 1408037596, 1408037611, 1408037626, 1408037641, 1408037656, 1408037671, 1408037686, 1408037701, 1408037716, 1408037731, 1408037746, 1408037761, 1408037776, 1408037791, 1408037806, 1408037821, 1408037836, 1408037851, 1408037866, 1408037881, 1408037896, 1408037911, 1408037926, 1408037941, 1408037956, 1408037971, 1408037986, 1408038001, 1408038016, 1408038031, 1408038046, 1408038061, 1408038076, 1408038091, 1408038106, 1408038121, 1408038136, 1408038151, 1408038166, 1408038181, 1408038196, 1408038211, 1408038226, 1408038241, 1408038256, 1408038271, 1408038286, 1408038301, 1408038316, 1408038331, 1408038346, 1408038361, 1408038376, 1408038391, 1408038406, 1408038421, 1408038436, 1408038451, 1408038466, 1408038481, 1408038496, 1408038511, 1408038526, 1408038541, 1408038556, 1408038571, 1408038586, 1408038601, 1408038616, 1408038631, 1408038646, 1408038661, 1408038676, 1408038691, 1408038706, 1408038721, 1408038736, 1408038751, 1408038766, 1408038781, 1408038796, 1408038811, 1408038826, 1408038841, 1408038856, 1408038871, 1408038886, 1408038901, 1408038916, 1408038931, 1408038946, 1408038961, 1408038976, 1408038991, 1408039006, 1408039021, 1408039036, 1408039051, 1408039066, 1408039081, 1408039096, 1408039111, 1408039126, 1408039141, 1408039156, 1408039171, 1408039186",T6,A,42612,NA,20000607,A,False
"LINESTRING (-8.585622 41.148918, -8.58564 41.1489, -8.585919 41.148945, -8.586369 41.148927, -8.586126 41.148558, -8.586288 41.147928, -8.586747 41.147613, -8.586792 41.147217, -8.584992 41.146749, -8.58366 41.14584, -8.582364 41.144841, -8.580339 41.145219, -8.579412 41.145885, -8.579178 41.145948, -8.579745 41.146515, -8.579502 41.14809, -8.578701 41.150106, -8.579304 41.151312, -8.580069 41.152005, -8.580681 41.1525, -8.581185 41.152923, -8.581563 41.153274, -8.581806 41.153517, -8.582049 41.153778)","1408038846, 1408038861, 1408038876, 1408038891, 1408038906, 1408038921, 1408038936, 1408038951, 1408038966, 1408038981, 1408038996, 1408039011, 1408039026, 1408039041, 1408039056, 1408039071, 1408039086, 1408039101, 1408039116, 1408039131, 1408039146, 1408039161, 1408039176, 1408039191",T7,B,NA,15,20000310,A,False
"LINESTRING (-8.582922 41.181057, -8.582004 41.181813, -8.581077 41.182965, -8.580114 41.184018, -8.579214 41.184774, -8.578341 41.185557, -8.577549 41.186097, -8.576793 41.186178, -8.575443 41.186664, -8.5752 41.1867, -8.5752 41.186682, -8.575173 41.186673, -8.575155 41.186664, -8.575884 41.18652, -8.577027 41.18607, -8.577531 41.186097, -8.578773 41.185242)","1408038948, 1408038963, 1408038978, 1408038993, 1408039008, 1408039023, 1408039038, 1408039053, 1408039068, 1408039083, 1408039098, 1408039113, 1408039128, 1408039143, 1408039158, 1408039173, 1408039188",T8,A,31780,NA,20000619,A,False
"LINESTRING (-8.606529 41.14467, -8.606673 41.144724, -8.606799 41.144706, -8.60679 41.144679, -8.606709 41.144724, -8.607249 41.144436, -8.607807 41.143662, -8.60796 41.143401, -8.607996 41.143392, -8.608014 41.143365, -8.608041 41.143329, -8.607249 41.142447, -8.605341 41.143005, -8.605323 41.143131, -8.605188 41.143446, -8.60517 41.143536, -8.604954 41.143788, -8.603271 41.143266, -8.601993 41.142087, -8.601381 41.139477, -8.601237 41.137704, -8.601246 41.137731, -8.601282 41.137677, -8.602092 41.136399, -8.60184 41.133996, -8.599536 41.132952, -8.597637 41.132097, -8.597142 41.130747, -8.597862 41.129145, -8.598303 41.126769, -8.598717 41.125113, -8.599995 41.125014, -8.60031 41.125005, -8.60085 41.124996, -8.602668 41.124987, -8.603118 41.124996, -8.603739 41.124996, -8.603775 41.125005, -8.604513 41.125095, -8.60499 41.125104, -8.605485 41.125716, -8.605494 41.125779, -8.605494 41.12577)","1408038563, 1408038578, 1408038593, 1408038608, 1408038623, 1408038638, 1408038653, 1408038668, 1408038683, 1408038698, 1408038713, 1408038728, 1408038743, 1408038758, 1408038773, 1408038788, 1408038803, 1408038818, 1408038833, 1408038848, 1408038863, 1408038878, 1408038893, 1408038908, 1408038923, 1408038938, 1408038953, 1408038968, 1408038983, 1408038998, 1408039013, 1408039028, 1408039043, 1408039058, 1408039073, 1408039088, 1408039103, 1408039118, 1408039133, 1408039148, 1408039163, 1408039178, 1408039193",T9,B,NA,9,20000503,A,False
"LINESTRING (-8.585658 41.148576, -8.585703 41.148603, -8.58573 41.148603, -8.585739 41.148603, -8.58573 41.148612, -8.585721 41.148621, -8.58573 41.148648, -8.585775 41.148936, -8.586297 41.14899, -8.586126 41.14872, -8.586207 41.148243, -8.586306 41.147865, -8.586603 41.147685, -8.586621 41.147694, -8.586657 41.147694, -8.586837 41.147577, -8.587035 41.147253, -8.585865 41.146911, -8.584137 41.146128, -8.582904 41.144985, -8.58069 41.145066, -8.579574 41.145705, -8.579313 41.145903, -8.579844 41.146587, -8.579151 41.148621, -8.579286 41.151339, -8.581302 41.153103, -8.582616 41.154732, -8.582751 41.155038, -8.582805 41.155218, -8.582931 41.155794, -8.582985 41.156406, -8.582922 41.157045, -8.582625 41.158071, -8.582256 41.159025, -8.582085 41.159439, -8.581725 41.160321, -8.581266 41.1615, -8.581122 41.161923, -8.581041 41.162274, -8.581032 41.162688, -8.581122 41.163102, -8.581239 41.16339, -8.581797 41.16429, -8.582463 41.165424, -8.583003 41.166027, -8.583624 41.166405, -8.584263 41.166612, -8.584749 41.166711, -8.585037 41.166738, -8.585334 41.166756, -8.585577 41.166774, -8.58564 41.166783, -8.585901 41.16681, -8.586333 41.166918, -8.586918 41.167116, -8.586873 41.167161, -8.587224 41.16735, -8.587485 41.167548, -8.587593 41.16771, -8.587827 41.1678, -8.588403 41.167962, -8.588817 41.168124, -8.588898 41.168232, -8.58915 41.168448, -8.589528 41.168655, -8.590302 41.169024, -8.590959 41.169393, -8.591508 41.169753, -8.59257 41.170392, -8.594325 41.17176, -8.594217 41.174244, -8.59329 41.177484, -8.593011 41.181741, -8.594334 41.186313, -8.593956 41.190444, -8.591166 41.194206, -8.588259 41.197401, -8.586306 41.199273)","1408038021, 1408038036, 1408038051, 1408038066, 1408038081, 1408038096, 1408038111, 1408038126, 1408038141, 1408038156, 1408038171, 1408038186, 1408038201, 1408038216, 1408038231, 1408038246, 1408038261, 1408038276, 1408038291, 1408038306, 1408038321, 1408038336, 1408038351, 1408038366, 1408038381, 1408038396, 1408038411, 1408038426, 1408038441, 1408038456, 1408038471, 1408038486, 1408038501, 1408038516, 1408038531, 1408038546, 1408038561, 1408038576, 1408038591, 1408038606, 1408038621, 1408038636, 1408038651, 1408038666, 1408038681, 1408038696, 1408038711, 1408038726, 1408038741, 1408038756, 1408038771, 1408038786, 1408038801, 1408038816, 1408038831, 1408038846, 1408038861, 1408038876, 1408038891, 1408038906, 1408038921, 1408038936, 1408038951, 1408038966, 1408038981, 1408038996, 1408039011, 1408039026, 1408039041, 1408039056, 1408039071, 1408039086, 1408039101, 1408039116, 1408039131, 1408039146, 1408039161, 1408039176, 1408039191",T10,B,NA,15,20000327,A,False